Generated ID,Course Name,Type,Course Category,Course Sub Category,Section,Student Program
1872ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
1872ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-CS
1872ADB,Deep Learning,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
1896ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
1896ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
1896ADB,AI in Business: Empowering Tomorrow's Leaders,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
1896ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
1897ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-BA
1897ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
1897ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
1897ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
1897ADB,Development Economics,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
1897ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-EEE
1897ADB,Thermodynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
1897ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-EEE
1897ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-EEE
1897ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-EEE
1913ADB,Computer Programming for CS,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
1913ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-CS
1913ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-CS
1913ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section C,BSc-CS
1913ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section H,BSc-CS
1924ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section C,BSc-CE
1924ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
1924ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-CE
1924ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-CE
1924ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section J,BSc-CE
1942ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-BA
1942ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
1942ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
1942ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
1942ADB,Organisational Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
1992ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section A,BSc-CS
1992ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
1992ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
1992ADB,Cloud Computing,Schedule,Major Courses,Major Electives,Section A,BSc-CS
1992ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2005ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section C,BSc-CS
2005ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2005ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-CS
2005ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section D,BSc-CS
2005ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section G,BSc-CS
2015ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
2015ADB,Web Technologies,Schedule,Major Courses,Required Major Classes,Section B,BSc-MIS
2015ADB,Systems Analysis and Design,Schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
2015ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-MIS
2052ADB,Computer Organization and Architecture,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
2052ADB,Multivariable Calculus and Linear Algebra,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-CE
2052ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-CE
2052ADB,Leadership Seminar IV for Engineers: Leadership as Service,Schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CE
2058ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2058ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2058ADB,Pre-Calculus II,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
2058ADB,African Trade and Regional Integration,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2058ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section G,BSc-BA
2078ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2078ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2090ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2090ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2090ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-CS
2090ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2090ADB,Introduction to Sociocultural Anthropology,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
2116ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2116ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2116ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2116ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2116ADB,Religion in Africa,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2131ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-EEE
2131ADB,Thermodynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
2131ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-EEE
2131ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-EEE
2131ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-EEE
2159ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2159ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2159ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2159ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2159ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-BA
2161ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2161ADB,Investments,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2161ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2161ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2161ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
2195ADB,Computer Organization and Architecture,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
2195ADB,Signals & Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
2195ADB,Instrumentation for Engineering,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
2195ADB,System Dynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
2195ADB,Leadership Seminar IV for Engineers: Leadership as Service,Schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CE
2201ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2201ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2201ADB,International Finance,Schedule,Major Courses,Major Electives,Section A,BSc-BA
2201ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
2222ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2222ADB,Real Estate Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
2222ADB,Pre-Calculus II,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
2222ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section D,BSc-BA
2236ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2236ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2236ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-BA
2236ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
2236ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section E,BSc-BA
2236ADB,Crafting Cultures: Exploring African Cultures Through Ceramics and Pottery,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2258ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2258ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2258ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
2258ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section F,BSc-BA
2258ADB,Crafting Cultures: Exploring African Cultures Through Ceramics and Pottery,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2259ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2259ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2259ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section A,BSc-CS
2259ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-CS
2259ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section A,BSc-CS
2267ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2267ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2267ADB,Organisational Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
2267ADB,Undergraduate Thesis I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
2283ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-MIS
2283ADB,AI in Business: Empowering Tomorrow's Leaders,Do not schedule,Major Courses,Major Electives,Section A,BSc-MIS
2283ADB,E-Commerce,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-MIS
2283ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-MIS
2292ADB,Deep Learning,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2292ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
2292ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
2292ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2292ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2292ADB,Hydraulic & Fluid Machinery,Schedule,Major Courses,Major Electives,Section A,BSc-ME
2302ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2302ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2302ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-CS
2302ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2302ADB,Comparative Politics,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
2327ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2327ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2327ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2327ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2327ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-CS
2336ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2336ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2336ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
2336ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section E,BSc-BA
2336ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-BA
2339ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2339ADB,Pre-Calculus II,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-BA
2339ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section C,BSc-BA
2339ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section I,BSc-BA
2339ADB,African Cultural Institutions,Schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2352ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-BA
2352ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2352ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2352ADB,International Finance,Schedule,Major Courses,Major Electives,Section A,BSc-BA
2399ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2399ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2399ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2399ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2399ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-BA
2442ADB,Networks and Data Communication,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2448ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2448ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2471ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2471ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2471ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
2471ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section G,BSc-BA
2471ADB,Neo-Traditional African Dance Forms,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2492ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section C,BSc-MIS
2492ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section B,BSc-MIS
2492ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section A,BSc-MIS
2492ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-MIS
2492ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-MIS
2492ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section F,BSc-MIS
2494ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2494ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2494ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2494ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2494ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-BA
2502ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2502ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-CS
2502ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2502ADB,Undergraduate Thesis I (CS),Schedule,Major Courses,Capstone,Section A,BSc-CS
2502ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-CS
2521ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section B,BSc-CS
2521ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
2521ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2521ADB,Cloud Computing,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2521ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2521ADB,Climate Change and Global Innovation,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
2553ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
2553ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2553ADB,Pre-Calculus II,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
2553ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section C,BSc-BA
2553ADB,African Trade and Regional Integration,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2553ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section I,BSc-BA
2554ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
2554ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-ME
2554ADB,African Trade and Regional Integration,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-ME
2554ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-ME
2554ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-ME
2565ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-MT
2565ADB,Mechanics of Materials,Schedule,Major Courses,Required Major Classes,Section A,BSc-MT
2565ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-MT
2565ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section B,BSc-MT
2565ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section J,BSc-MT
2566ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section C,BSc-CS
2566ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2566ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2566ADB,Systems Analysis and Design,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2567ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
2567ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
2567ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2567ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2567ADB,Hydraulic & Fluid Machinery,Schedule,Major Courses,Major Electives,Section A,BSc-ME
2567ADB,Creative and Research Internship,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-ME
2569ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section B,BSc-CS
2569ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
2569ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2569ADB,Undergraduate Thesis I (CS),Schedule,Major Courses,Capstone,Section A,BSc-CS
2569ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2569ADB,Religion in Africa,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
2570ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-ME
2570ADB,Thermodynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2570ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-ME
2570ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section B,BSc-ME
2570ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-ME
2584ADB,Concepts of Programming Languages,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2584ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2584ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2584ADB,Comparative Politics,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
2597ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
2597ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
2597ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2597ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
2597ADB,Advanced Mechanical Machine Design,Do not schedule,Major Courses,Major Electives,Section A,BSc-ME
2597ADB,Creative and Research Internship,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-ME
2600ADB,Embedded Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
2600ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CE
2600ADB,Machine Learning,Schedule,Major Courses,Major Electives,Section A,BSc-CE
2600ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-CE
2600ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-CE
2600ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CE
2600ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section A,BSc-ECON
2600ADB,Mathematics for Economists,Schedule,Major Courses,Required Major Classes,Section A,BSc-ECON
2600ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-ECON
2600ADB,African Trade and Regional Integration,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-ECON
2600ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-ECON
2603ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section A,BSc-CS
2603ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
2603ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2603ADB,Cloud Computing,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2603ADB,Comparative Politics,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
2607ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
2607ADB,Applied Project I (BA),Schedule,Major Courses,Capstone,Section A,BSc-BA
2607ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
2607ADB,Organisational Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
2607ADB,Comparative Politics,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
2636ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2636ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2636ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section C,BSc-CS
2636ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2636ADB,Comparative Politics,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-CS
2637ADB,Intermediate Computer Programming,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2637ADB,Hardware and Systems Fundamentals,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2637ADB,Web Technologies,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-CS
2637ADB,Algorithm Design and Analysis,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2637ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-CS
2637ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-CS
2640ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section C,BSc-CS
2640ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
2640ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-CS
2640ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-CS
2640ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section D,BSc-CS
2640ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-CS
2709ADB,Embedded Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-MT
2709ADB,Machine Learning,Schedule,Major Courses,Major Electives,Section A,BSc-MT
2709ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-MT
